"1","Brother LC-3213BK (Noir)","15.8"
"2","Brother LC-3211VAL (Couleur/Noir)","49.95"
"3","Epson Etoile de mer 603 Pack Couleur/Noir","44.28"
"4","Epson Etoile de mer 603 Pack XL Couleur/Noir","82.43"
"5","HP 62 Pack XL Couleur/Noir","75.22"
"6","HP 62 Couleur","27.79"
"7","HP 62 Noir","19.54"
"8","HP 302 Pack Couleur/Noir","36.1"
"9","HP 302 Noir","21.61"
"10","HP 302 Couleur","20.62"
"11","HP 303 Pack Couleur/Noir","40.16"
"12","HP 303 Couleur","26.81"
"13","HP 303 Noir","19.54"
"14","HP 304 Pack Couleur/Noir","24"
"15","HP 304 Noir","15"
"16","HP 304 Couleur","15"
