"1","68.9","2017","1"
"2","71.9","2018","1"
"3","73.9","2019","1"
"4","124.9","2017","2"
"5","129.9","2018","2"
"6","132.9","2019","2"
"7","87.9","2017","3"
"8","77.9","2018","3"
"9","61.9","2019","3"
"10","269","2017","4"
"11","294","2018","4"
"12","261.95","2019","4"
"13","68.14","2017","5"
"14","61.5","2018","5"
"15","64.6","2019","5"
"16","45.6","2017","6"
"17","40.6","2018","6"
"18","43.5","2019","6"
"19","62.9","2017","7"
"20","66.9","2018","7"
"21","67.9","2019","7"
"22","120.5","2017","8"
"23","125.6","2018","8"
"24","128.99","2019","8"
"25","126.95","2017","9"
"26","134.9","2018","9"
"27","111.9","2019","9"
